archivo_original,archivo_procesado,estado,duracion_original,duracion_procesada,observacion
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_003.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_003.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_004.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_004.wav,OK,1.685333,1.641375,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_005.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_005.wav,OK,1.770667,1.726688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_006.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_006.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_007.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_007.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_008.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_008.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_009.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_009.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_010.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_010.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_011.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_011.wav,OK,1.770667,1.726688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_012.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_012.wav,OK,1.941333,1.897375,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_013.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_013.wav,OK,1.770667,1.726688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_014.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_014.wav,OK,1.685333,1.641375,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_015.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_015.wav,OK,1.770667,1.726688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_016.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_016.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_017.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_017.wav,OK,1.685333,1.641375,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_018.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_018.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_019.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_019.wav,OK,2.026667,1.982688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_020.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_020.wav,OK,1.429333,1.385375,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_021.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_021.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_022.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_022.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_023.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_023.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_024.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_024.wav,OK,1.685333,1.641375,
..\dataset_original\Base\alarma\base_alarma_p01_001.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_001.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p01_002.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_002.wav,OK,1.770667,1.726688,
..\dataset_original\Base\alarma\base_alarma_p01_003.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_003.wav,OK,1.856,1.812,
..\dataset_original\Base\alarma\base_alarma_p01_004.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_004.wav,OK,1.856,1.812,
..\dataset_original\Base\alarma\base_alarma_p01_005.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_005.wav,OK,1.770667,1.726688,
..\dataset_original\Base\alarma\base_alarma_p01_006.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_006.wav,OK,1.685333,1.641375,
..\dataset_original\Base\alarma\base_alarma_p01_007.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_007.wav,OK,1.770667,1.726688,
..\dataset_original\Base\alarma\base_alarma_p01_008.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_008.wav,OK,1.856,1.812,
..\dataset_original\Base\alarma\base_alarma_p01_009.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_009.wav,OK,2.112,2.068,
..\dataset_original\Base\alarma\base_alarma_p01_010.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_010.wav,OK,2.282667,2.238688,
..\dataset_original\Base\alarma\base_alarma_p01_011.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_011.wav,OK,2.197333,2.153375,
..\dataset_original\Base\alarma\base_alarma_p01_012.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_012.wav,OK,1.770667,1.726688,
..\dataset_original\Base\alarma\base_alarma_p01_013.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_013.wav,OK,2.112,2.068,
..\dataset_original\Base\alarma\base_alarma_p01_014.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_014.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p01_015.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_015.wav,OK,2.112,2.068,
..\dataset_original\Base\alarma\base_alarma_p01_016.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_016.wav,OK,2.197333,2.153375,
..\dataset_original\Base\alarma\base_alarma_p01_017.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_017.wav,OK,2.197333,2.153375,
..\dataset_original\Base\alarma\base_alarma_p01_018.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_018.wav,OK,2.112,2.068,
..\dataset_original\Base\alarma\base_alarma_p01_019.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_019.wav,OK,1.856,1.812,
..\dataset_original\Base\alarma\base_alarma_p01_020.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_020.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p01_021.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_021.wav,OK,2.112,2.068,
..\dataset_original\Base\alarma\base_alarma_p01_022.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_022.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p01_023.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_023.wav,OK,1.941333,1.897375,
..\dataset_original\Base\alarma\base_alarma_p01_024.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_024.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p01_025.m4a,..\dataset_procesado\Base\alarma\base_alarma_p01_025.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_01.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_01.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_02.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_02.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_03.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_03.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_04.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_04.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_05.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_05.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_06.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_06.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_07.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_07.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_08.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_08.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_09.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_09.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_10.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_10.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_11.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_11.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_12.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_12.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_13.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_13.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_14.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_14.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_15.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_15.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_16.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_16.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_17.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_17.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_18.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_18.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_19.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_19.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_20.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_20.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_21.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_21.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_22.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_22.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_23.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_23.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_24.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_24.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p03_25.m4a,..\dataset_procesado\Base\alarma\base_alarma_p03_25.wav,OK,2.026667,1.982688,
..\dataset_original\Base\alarma\base_alarma_p05_001.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_001.wav,OK,1.770667,1.726688,
..\dataset_original\Base\alarma\base_alarma_p05_002.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_002.wav,OK,1.856,1.812,
..\dataset_original\Base\alarma\base_alarma_p05_003.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_003.wav,OK,1.429333,1.385375,
..\dataset_original\Base\alarma\base_alarma_p05_004.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_004.wav,OK,1.514667,1.470688,
..\dataset_original\Base\alarma\base_alarma_p05_005.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_005.wav,OK,1.941333,1.897375,
..\dataset_original\Base\alarma\base_alarma_p05_006.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_006.wav,OK,1.514667,1.470688,
..\dataset_original\Base\alarma\base_alarma_p05_007.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_007.wav,OK,1.770667,1.726688,
..\dataset_original\Base\alarma\base_alarma_p05_008.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_008.wav,OK,1.514667,1.470688,
..\dataset_original\Base\alarma\base_alarma_p05_009.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_009.wav,OK,1.685333,1.641375,
..\dataset_original\Base\alarma\base_alarma_p05_010.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_010.wav,OK,1.514667,1.470688,
..\dataset_original\Base\alarma\base_alarma_p05_011.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_011.wav,OK,1.770667,1.726688,
..\dataset_original\Base\alarma\base_alarma_p05_012.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_012.wav,OK,1.344,1.3,
..\dataset_original\Base\alarma\base_alarma_p05_013.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_013.wav,OK,1.514667,1.470688,
..\dataset_original\Base\alarma\base_alarma_p05_014.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_014.wav,OK,1.6,1.556,
..\dataset_original\Base\alarma\base_alarma_p05_015.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_015.wav,OK,1.514667,1.470688,
..\dataset_original\Base\alarma\base_alarma_p05_016.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_016.wav,OK,1.685333,1.641375,
..\dataset_original\Base\alarma\base_alarma_p05_017.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_017.wav,OK,1.429333,1.385375,
..\dataset_original\Base\alarma\base_alarma_p05_018.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_018.wav,OK,1.856,1.812,
..\dataset_original\Base\alarma\base_alarma_p05_019.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_019.wav,OK,1.685333,1.641375,
..\dataset_original\Base\alarma\base_alarma_p05_020.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_020.wav,OK,1.770667,1.726688,
..\dataset_original\Base\alarma\base_alarma_p05_021.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_021.wav,OK,1.6,1.556,
..\dataset_original\Base\alarma\base_alarma_p05_022.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_022.wav,OK,1.514667,1.470688,
..\dataset_original\Base\alarma\base_alarma_p05_023.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_023.wav,OK,1.685333,1.641375,
..\dataset_original\Base\alarma\base_alarma_p05_024.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_024.wav,OK,1.6,1.556,
..\dataset_original\Base\alarma\base_alarma_p05_025.m4a,..\dataset_procesado\Base\alarma\base_alarma_p05_025.wav,OK,1.6,1.556,
..\dataset_original\Base\alarma\base_alarma_p4_001.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_001.wav,OK,1.343979,1.344,
..\dataset_original\Base\alarma\base_alarma_p4_002.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_002.wav,OK,1.087979,1.088,
..\dataset_original\Base\alarma\base_alarma_p4_003.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_003.wav,OK,2.069292,2.069375,
..\dataset_original\Base\alarma\base_alarma_p4_004.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_004.wav,OK,1.151979,1.152,
..\dataset_original\Base\alarma\base_alarma_p4_005.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_005.wav,OK,1.258646,1.258688,
..\dataset_original\Base\alarma\base_alarma_p4_006.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_006.wav,OK,1.151979,1.152,
..\dataset_original\Base\alarma\base_alarma_p4_007.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_007.wav,OK,1.813313,1.813375,
..\dataset_original\Base\alarma\base_alarma_p4_008.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_008.wav,OK,2.197292,2.197375,
..\dataset_original\Base\alarma\base_alarma_p4_009.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_009.wav,OK,1.237313,1.237375,
..\dataset_original\Base\alarma\base_alarma_p4_010.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_010.wav,OK,1.599979,1.6,
..\dataset_original\Base\alarma\base_alarma_p4_011.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_011.wav,OK,1.386646,1.386688,
..\dataset_original\Base\alarma\base_alarma_p4_012.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_012.wav,OK,1.877313,1.877375,
..\dataset_original\Base\alarma\base_alarma_p4_013.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_013.wav,OK,1.237313,1.237375,
..\dataset_original\Base\alarma\base_alarma_p4_014.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_014.wav,OK,1.173313,1.173375,
..\dataset_original\Base\alarma\base_alarma_p4_015.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_015.wav,OK,1.109313,1.109375,
..\dataset_original\Base\alarma\base_alarma_p4_016.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_016.wav,OK,1.514646,1.514688,
..\dataset_original\Base\alarma\base_alarma_p4_017.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_017.wav,OK,1.877313,1.877375,
..\dataset_original\Base\alarma\base_alarma_p4_018.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_018.wav,OK,1.663979,1.664,
..\dataset_original\Base\alarma\base_alarma_p4_019.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_019.wav,OK,1.237313,1.237375,
..\dataset_original\Base\alarma\base_alarma_p4_020.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_020.wav,OK,1.194646,1.194688,
..\dataset_original\Base\alarma\base_alarma_p4_021.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_021.wav,OK,2.303958,2.304,
..\dataset_original\Base\alarma\base_alarma_p4_022.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_022.wav,OK,1.450646,1.450688,
..\dataset_original\Base\alarma\base_alarma_p4_023.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_023.wav,OK,1.279979,1.28,
..\dataset_original\Base\alarma\base_alarma_p4_024.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_024.wav,OK,1.578646,1.578688,
..\dataset_original\Base\alarma\base_alarma_p4_025.m4a,..\dataset_procesado\Base\alarma\base_alarma_p4_025.wav,OK,1.706646,1.706688,
..\dataset_original\Base\apaga\base_apaga_p01_001.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_001.wav,OK,2.026667,1.982688,
..\dataset_original\Base\apaga\base_apaga_p01_002.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_002.wav,OK,2.026667,1.982688,
..\dataset_original\Base\apaga\base_apaga_p01_003.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_003.wav,OK,1.770667,1.726688,
..\dataset_original\Base\apaga\base_apaga_p01_004.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_004.wav,OK,2.026667,1.982688,
..\dataset_original\Base\apaga\base_apaga_p01_005.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_005.wav,OK,2.026667,1.982688,
..\dataset_original\Base\apaga\base_apaga_p01_006.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_006.wav,OK,2.282667,2.238688,
..\dataset_original\Base\apaga\base_apaga_p01_007.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_007.wav,OK,2.282667,2.238688,
..\dataset_original\Base\apaga\base_apaga_p01_008.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_008.wav,OK,2.026667,1.982688,
..\dataset_original\Base\apaga\base_apaga_p01_009.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_009.wav,OK,2.197333,2.153375,
..\dataset_original\Base\apaga\base_apaga_p01_010.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_010.wav,OK,1.770667,1.726688,
..\dataset_original\Base\apaga\base_apaga_p01_011.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_011.wav,OK,2.282667,2.238688,
..\dataset_original\Base\apaga\base_apaga_p01_012.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_012.wav,OK,1.856,1.812,
..\dataset_original\Base\apaga\base_apaga_p01_013.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_013.wav,OK,1.856,1.812,
..\dataset_original\Base\apaga\base_apaga_p01_014.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_014.wav,OK,2.197333,2.153375,
..\dataset_original\Base\apaga\base_apaga_p01_015.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_015.wav,OK,2.026667,1.982688,
..\dataset_original\Base\apaga\base_apaga_p01_016.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_016.wav,OK,2.197333,2.153375,
..\dataset_original\Base\apaga\base_apaga_p01_017.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_017.wav,OK,2.368,2.324,
..\dataset_original\Base\apaga\base_apaga_p01_018.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_018.wav,OK,2.368,2.324,
..\dataset_original\Base\apaga\base_apaga_p01_019.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_019.wav,OK,2.368,2.324,
..\dataset_original\Base\apaga\base_apaga_p01_020.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_020.wav,OK,1.685333,1.641375,
..\dataset_original\Base\apaga\base_apaga_p01_021.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_021.wav,OK,2.197333,2.153375,
..\dataset_original\Base\apaga\base_apaga_p01_022.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_022.wav,OK,2.282667,2.238688,
..\dataset_original\Base\apaga\base_apaga_p01_023.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_023.wav,OK,2.282667,2.238688,
..\dataset_original\Base\apaga\base_apaga_p01_024.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_024.wav,OK,2.368,2.324,
..\dataset_original\Base\apaga\base_apaga_p01_025.m4a,..\dataset_procesado\Base\apaga\base_apaga_p01_025.wav,OK,2.112,2.068,
..\dataset_original\Base\apaga\base_apaga_p03_01.m4a,..\dataset_procesado\Base\apaga\base_apaga_p03_01.wav,OK,2.197333,2.153375,
